waste_type,total_waste_generated_tonne,total_waste_recycled_tonne,recycling_rate,waste_disposed_of_tonne,year,index,material,energy_saved_kwh_tonne,oil_saved_barrel_tonne,total_energy_saved_kwh,total_oil_saved_barrels
plastic,949000.0,41000.0,0.04,909000.0,2018,0,plastic,5774 ,16 ,236734000.0,656000.0
plastic,930000.0,37000.0,0.04,893000.0,2019,0,plastic,5774 ,16 ,213638000.0,592000.0
ferrous metal,1278000.0,1270000.0,0.99,8000.0,2019,2,ferrous metal,642 ,1.8 ,815340000.0,2286000.0
nonferrous metal,126000.0,124000.0,0.99,2000.0,2019,3,nonferrous metal,14000 ,40 ,1736000000.0,4960000.0
glass,75000.0,11000.0,0.14,64000.0,2019,1,glass,42 ,0.12 ,462000.0,1320.0
paper cardboard,1011000.0,449000.0,0.44,561000.0,2019,4,paper cardboard,4100 ,11 ,1840900000.0,4939000.0
glass,66000.0,7000.0,0.11,58000.0,2020,1,glass,42 ,0.12 ,294000.0,840.0
plastic,868000.0,36000.0,0.04,832000.0,2020,0,plastic,5774 ,16 ,207864000.0,576000.0
paper cardboard,1144000.0,432000.0,0.38,712000.0,2020,4,paper cardboard,4100 ,11 ,1771200000.0,4752000.0
nonferrous metal,75000.0,73000.0,0.98,2000.0,2020,3,nonferrous metal,14000 ,40 ,1022000000.0,2920000.0
ferrous metal,934000.0,930000.0,0.99,4000.0,2020,2,ferrous metal,642 ,1.8 ,597060000.0,1674000.0
ferrous metal,1312000.0,1306000.0,0.99,6000.0,2021,2,ferrous metal,642 ,1.8 ,838452000.0,2350800.0
paper cardboard,1136000.0,437000.0,0.39,699000.0,2021,4,paper cardboard,4100 ,11 ,1791700000.0,4807000.0
plastic,982000.0,58000.0,0.06,924000.0,2021,0,plastic,5774 ,16 ,334892000.0,928000.0
glass,74000.0,9000.0,0.13,65000.0,2021,1,glass,42 ,0.12 ,378000.0,1080.0
nonferrous metal,88000.0,87000.0,0.98,1000.0,2021,3,nonferrous metal,14000 ,40 ,1218000000.0,3480000.0
nonferrous metal,92000.0,91000.0,0.98,2000.0,2022,3,nonferrous metal,14000 ,40 ,1274000000.0,3640000.0
glass,73000.0,11000.0,0.14,63000.0,2022,1,glass,42 ,0.12 ,462000.0,1320.0
plastic,1001000.0,57000.0,0.06,944000.0,2022,0,plastic,5774 ,16 ,329118000.0,912000.0
ferrous metal,1338000.0,1331000.0,0.99,7000.0,2022,2,ferrous metal,642 ,1.8 ,854502000.0,2395800.0
paper cardboard,1064000.0,394000.0,0.37,671000.0,2022,4,paper cardboard,4100 ,11 ,1615400000.0,4334000.0
