waste_type,total_waste_generated_tonne,total_waste_recycled_tonne,recycling_rate,waste_disposed_of_tonne,year,calc_recycling_rate
wood timber,223700.0,81700.0,0.37,142000.0,2006,36.52
horticultural waste,231000.0,87000.0,0.38,144000.0,2006,37.66
ferrous metal,725900.0,657400.0,0.91,68500.0,2006,90.56
nonferrous metal,86700.0,70700.0,0.82,16000.0,2006,81.55
used slag,470600.0,417000.0,0.89,53600.0,2006,88.61
ash sludge,126800.0,0.0,0.0,126800.0,2006,0.0
glass,63000.0,6400.0,0.1,56600.0,2006,10.16
textile leather,91800.0,4100.0,0.04,87700.0,2006,4.47
scrap tyre,23900.0,19400.0,0.81,4500.0,2006,81.17
others stone ceramic rubber etc,242300.0,15300.0,0.06,227000.0,2006,6.31
total,5220500.0,2656900.0,0.51,2563600.0,2006,50.89
food waste,531500.0,36500.0,0.07,495000.0,2005,6.87
paper cardboard,1098600.0,540500.0,0.49,558100.0,2005,49.2
plastic,674800.0,86000.0,0.13,588800.0,2005,12.74
construction debris,492500.0,465300.0,0.94,27200.0,2005,94.48
wood timber,239300.0,90000.0,0.38,149300.0,2005,37.61
horticultural waste,199500.0,101000.0,0.51,98500.0,2005,50.63
ferrous metal,818300.0,749100.0,0.92,69200.0,2005,91.54
nonferrous metal,89400.0,74700.0,0.84,14700.0,2005,83.56
used slag,382400.0,298900.0,0.78,83500.0,2005,78.16
ash sludge,98300.0,0.0,0.0,98300.0,2005,0.0
glass,62600.0,3800.0,0.06,58800.0,2005,6.07
textile leather,89000.0,4000.0,0.04,85000.0,2005,4.49
scrap tyre,16800.0,10800.0,0.64,6000.0,2005,64.29
others stone ceramic rubber etc,225200.0,8800.0,0.04,216400.0,2005,3.91
total,5018200.0,2469400.0,0.49,2548800.0,2005,49.21
food waste,531100.0,31100.0,0.06,500000.0,2004,5.86
paper cardboard,1132100.0,519900.0,0.46,612200.0,2004,45.92
plastic,683100.0,74100.0,0.11,609000.0,2004,10.85
construction debris,509000.0,471000.0,0.93,38000.0,2004,92.53
wood timber,222300.0,73700.0,0.33,148600.0,2004,33.15
horticultural waste,227000.0,127900.0,0.56,99100.0,2004,56.34
ferrous metal,720200.0,649900.0,0.9,70300.0,2004,90.24
nonferrous metal,86900.0,71800.0,0.83,15100.0,2004,82.62
used slag,267200.0,259600.0,0.97,7600.0,2004,97.16
ash sludge,93900.0,0.0,0.0,93900.0,2004,0.0
glass,73600.0,4900.0,0.07,68700.0,2004,6.66
textile leather,114500.0,5000.0,0.04,109500.0,2004,4.37
scrap tyre,14700.0,7200.0,0.49,7500.0,2004,48.98
